GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Administration GUI,org.ejbca.ui.web,ParameterException,4,0,0,0,2,0,1,0,1,0
Administration GUI,org.ejbca.ui.web,HttpUpload,169,0,20,0,43,0,14,0,4,0
Administration GUI,org.ejbca.ui.web,DnObjectArrayListConverter,107,0,14,0,20,0,10,0,3,0
Administration GUI,org.ejbca.ui.web,OidsObjectLinkedHashSetConverter,116,0,14,0,22,0,10,0,3,0
Administration GUI,org.ejbca.ui.web,ParameterMap,32,0,4,0,10,0,7,0,5,0
Administration GUI,org.ejbca.ui.web.admin.certprof,ProfilesExportServlet,391,0,30,0,106,0,21,0,6,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfilesBean,1452,0,152,0,361,0,115,0,39,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfilesBean.new Comparator() {...},40,0,8,0,6,0,6,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.ApprovalRequestItem,26,0,0,0,9,0,5,0,5,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new DataModelListener() {...},37,0,4,0,7,0,4,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfileBean,3537,0,362,0,702,0,371,0,190,0
Administration GUI,org.ejbca.ui.web.admin.certprof,CertProfilesBean.CertificateProfileItem,30,0,0,0,10,0,5,0,5,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,HsmKeepAliveWorkerType,16,0,0,0,5,0,1,0,1,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,CustomActionType,90,0,6,0,26,0,15,0,12,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,CustomIntervalType,90,0,6,0,26,0,15,0,12,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,CertificateExpirationNotifierWorkerType,7,0,0,0,2,0,1,0,1,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,CRLDownloadWorkerType,94,0,2,0,26,0,8,0,7,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,MailActionType,75,0,4,0,21,0,11,0,9,0
Administration GUI,org.ejbca.ui.web.admin.services.servicetypes,UserPasswordExpireWorkerType,7,0,0,0,2,0,1,0,1,0
