GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CeSeCore Security EJB Implementation,org.cesecore.certificates.crl,CrlStoreSessionBean,574,0,56,0,159,0,37,0,9,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.crl,CrlCreateSessionBean,349,0,28,0,95,0,19,0,5,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.ca.internal,CACacheHelper,18,0,0,0,4,0,3,0,3,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.ca.internal,CaCache.new CommonCacheBase() {...},0,10,0,0,0,3,0,3,0,3
CeSeCore Security EJB Implementation,org.cesecore.certificates.ca.internal,CaIDCacheBean,120,0,18,0,37,0,16,0,7,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.ca.internal,CaCache,31,52,2,0,9,10,6,7,5,7
CeSeCore Security EJB Implementation,org.cesecore.authorization.cache,AuthorizationCacheReloadListeners,60,0,4,0,14,0,6,0,4,0
CeSeCore Security EJB Implementation,org.cesecore.authorization.cache,AccessTreeUpdateSessionBean,109,0,8,0,37,0,11,0,7,0
CeSeCore Security EJB Implementation,org.cesecore.profiles,ProfileSessionBean,208,0,10,0,60,0,17,0,12,0
CeSeCore Security EJB Implementation,org.cesecore.profiles,ProfileSessionBean.new ProfileID.DB() {...},15,0,2,0,2,0,3,0,2,0
CeSeCore Security EJB Implementation,org.cesecore.audit.log,InternalSecurityEventsLoggerSessionBean,165,0,26,0,47,0,18,0,5,0
CeSeCore Security EJB Implementation,org.cesecore.audit.log,SecurityEventsLoggerSessionBean,170,0,6,0,31,0,9,0,6,0
CeSeCore Security EJB Implementation,org.cesecore.keybind,InternalKeyBindingDataSessionBean,483,0,46,0,147,0,38,0,15,0
CeSeCore Security EJB Implementation,org.cesecore.keybind,InternalKeyBindingMgmtSessionBean,2672,0,254,0,793,0,161,0,34,0
CeSeCore Security EJB Implementation,org.cesecore.keybind,InternalKeyBindingMgmtSessionBean.new Comparator() {...},12,0,0,0,3,0,2,0,2,0
CeSeCore Security EJB Implementation,org.cesecore.authorization,AuthorizationSessionBean.new AuthorizationCache.AuthorizationCacheCallback() {...},63,0,6,0,19,0,7,0,4,0
CeSeCore Security EJB Implementation,org.cesecore.authorization,AuthorizationSessionBean,447,0,46,0,118,0,37,0,14,0
CeSeCore Security EJB Implementation,org.cesecore.keys.token,CryptoTokenCache.new CommonCacheBase() {...},10,0,0,0,3,0,3,0,3,0
CeSeCore Security EJB Implementation,org.cesecore.keys.token,CryptoTokenSessionBean,425,0,42,0,118,0,39,0,18,0
CeSeCore Security EJB Implementation,org.cesecore.keys.token,CryptoTokenCache,83,0,2,0,19,0,13,0,12,0
CeSeCore Security EJB Implementation,org.cesecore.keys.token,CryptoTokenManagementSessionBean,2246,0,220,0,619,0,151,0,41,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,CertificateCreateSessionBean,1669,0,168,0,483,0,100,0,16,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,CertificateCreateSessionBean.new CTAuditLogCallback() {...},85,0,4,0,22,0,4,0,2,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,CertificateDataSessionBean,1000,0,28,0,241,0,45,0,31,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,CertificateStoreSessionBean,3879,0,478,0,1084,0,318,0,79,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,NoConflictCertificateDataSessionBean,114,0,8,0,37,0,12,0,8,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,BaseCertificateDataSessionBean,206,0,12,0,57,0,10,0,4,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,UniqueSernoHelper,46,0,0,0,18,0,6,0,6,0
CeSeCore Security EJB Implementation,org.cesecore.certificates.certificate,NoConflictCertificateStoreSessionBean,639,0,74,0,189,0,55,0,18,0
CeSeCore Security EJB Implementation,org.cesecore.audit.impl.integrityprotected,IntegrityProtectedLoggerSessionBean.new NodeSequenceHolder.OnInitCallBack() {...},26,0,0,0,7,0,3,0,3,0
CeSeCore Security EJB Implementation,org.cesecore.audit.impl.integrityprotected,IntegrityProtectedAuditorSessionBean.Holder,16,0,0,0,6,0,3,0,3,0
CeSeCore Security EJB Implementation,org.cesecore.audit.impl.integrityprotected,IntegrityProtectedLoggerSessionBean,102,0,4,0,21,0,6,0,4,0
CeSeCore Security EJB Implementation,org.cesecore.audit.impl.integrityprotected,IntegrityProtectedAuditorSessionBean,637,0,42,0,182,0,35,0,14,0
