GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejbca-common-web/ejbca-ejb-interface,org.ejbca.core.ejb.approval,ApprovalProfileExistsException,7,0,0,0,4,0,2,0,2,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.core.ejb.approval,ApprovalProfileDoesNotExistException,11,0,0,0,6,0,3,0,3,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.core.protocol,NoSuchAliasException,7,0,0,0,4,0,2,0,2,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.core.model.util,EjbLocalHelper,306,0,12,0,88,0,62,0,56,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.core.model.util,LocalLookupException,16,0,0,0,8,0,4,0,4,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.core.ejb.dto,CertRevocationDto,64,0,0,0,27,0,14,0,14,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.configdump,ConfigDumpSetting.ItemType,234,0,0,0,4,0,1,0,1,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.configdump,ConfigdumpException,16,0,0,0,8,0,4,0,4,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.configdump,ConfigDumpSetting,188,0,24,0,55,0,26,0,14,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.configdump,ConfigdumpExportResult,19,0,0,0,7,0,4,0,4,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.configdump,ConfigdumpPattern,43,0,2,0,11,0,5,0,4,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.statedump.ejb,StatedumpObjectKey,71,0,8,0,16,0,11,0,7,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.statedump.ejb,StatedumpOverride,15,0,0,0,6,0,3,0,3,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.statedump.ejb,StatedumpOverride.Type,44,0,0,0,5,0,1,0,1,0
ejbca-common-web/ejbca-ejb-interface,org.ejbca.statedump.ejb,StatedumpImportResult,92,0,0,0,25,0,13,0,13,0
