GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJB-CA Common Web code,org.ejbca.ui.web,CertificateView,886,0,122,0,229,0,108,0,47,0
EJB-CA Common Web code,org.ejbca.ui.web,CertificateRequestResponse,3,12,0,0,1,5,1,2,1,2
EJB-CA Common Web code,org.ejbca.ui.web,RevokedInfoView,51,0,6,0,14,0,10,0,7,0
EJB-CA Common Web code,org.ejbca.ui.web,RequestHelper,697,134,92,8,192,36,66,6,16,5
EJB-CA Common Web code,org.ejbca.ui.web,CertificateResponseType,35,67,4,0,6,9,5,2,3,2
EJB-CA Common Web code,org.ejbca.ui.web.pub,ServletUtils,65,0,16,0,20,0,12,0,4,0
EJB-CA Common Web code,org.ejbca.ui.web.pub,ServletDebug,191,0,8,0,51,0,11,0,7,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,CertificateExpirationNotifierWorker,439,0,44,0,96,0,27,0,5,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,EmailSendingWorker,120,0,10,0,31,0,14,0,9,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,CRLDownloadWorker,322,0,52,0,78,0,31,0,5,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,EmailSendingWorker.EmailCertData,24,0,0,0,9,0,3,0,3,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,RenewCAWorker,139,0,6,0,36,0,7,0,4,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,PublishQueueProcessWorker,136,0,8,0,35,0,8,0,4,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,UserPasswordExpireWorker,176,0,14,0,34,0,11,0,4,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,CRLUpdateWorker,69,0,2,0,17,0,4,0,3,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,HsmKeepAliveWorker,143,0,22,0,37,0,14,0,3,0
EJB-CA Common Web code,org.ejbca.core.model.services.workers,RolloverWorker,141,0,14,0,33,0,11,0,4,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,EditEndEntityApprovalRequest,925,0,70,0,145,0,52,0,17,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,RevocationApprovalRequest,392,0,20,0,84,0,26,0,15,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,ChangeStatusEndEntityApprovalRequest,289,0,34,0,89,0,36,0,14,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,ViewHardTokenDataApprovalRequest,164,0,4,0,36,0,12,0,10,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,GenerateTokenApprovalRequest,131,0,2,0,31,0,12,0,11,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,ActivateCATokenApprovalRequest,163,0,4,0,41,0,14,0,12,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,AddEndEntityApprovalRequest,533,0,30,0,90,0,30,0,15,0
EJB-CA Common Web code,org.ejbca.core.model.approval.approvalrequests,KeyRecoveryApprovalRequest,257,0,4,0,57,0,15,0,13,0
EJB-CA Common Web code,org.ejbca.core.model.approval,ApprovalRequestHelper,48,0,6,0,11,0,5,0,2,0
EJB-CA Common Web code,org.ejbca.core.model.validation,PublicKeyBlacklistKeyValidator,167,182,15,21,36,51,17,16,6,9
EJB-CA Common Web code,org.ejbca.core.protocol.cmp.authentication,RegTokenPasswordExtractor,195,0,40,0,62,0,27,0,7,0
EJB-CA Common Web code,org.owasp.filters,ContentSecurityPolicyFilter,177,0,10,0,44,0,9,0,4,0
