GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA EJB Library,org.ejbca.core.ejb,EjbBridgeSessionBean,153,0,0,0,51,0,51,0,51,0
EJBCA EJB Library,org.ejbca.core.ejb,StartupSingletonBean,653,0,32,0,171,0,23,0,7,0
EJBCA EJB Library,org.ejbca.core.ejb,ProfileAndTraceInterceptor,145,0,16,0,36,0,11,0,3,0
EJBCA EJB Library,org.ejbca.util.dn,DistinguishedName,45,332,11,47,11,83,11,27,1,8
EJBCA EJB Library,org.ejbca.core.protocol.unid,UnidFnrHandler,61,194,18,20,19,49,19,9,1,8
EJBCA EJB Library,org.ejbca.core.protocol.unid,RequestMessageSubjectDnAdapter,190,13,2,0,54,5,42,2,41,2
EJBCA EJB Library,org.ejbca.core.ejb.approval,ApprovalProfileCacheBean,159,0,18,0,43,0,15,0,6,0
EJBCA EJB Library,org.ejbca.core.ejb.approval,ApprovalSessionBean.new ProfileID.DB() {...},16,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.approval,ApprovalProfileSessionBean,591,0,48,0,130,0,43,0,19,0
EJBCA EJB Library,org.ejbca.core.ejb.approval,ApprovalSessionBean,2276,0,272,0,506,0,171,0,35,0
EJBCA EJB Library,org.ejbca.core.ejb.approval,ApprovalExecutionSessionBean,971,0,84,0,188,0,48,0,6,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.publisher,PublisherQueueSessionBean.new Callable() {...},47,0,2,0,4,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.publisher,PublisherSessionBean.new ProfileID.DB() {...},16,0,2,0,2,0,3,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.publisher,PublisherQueueSessionBean,1005,0,116,0,260,0,78,0,20,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.publisher,PublisherCache.new CommonCacheBase() {...},0,10,0,0,0,3,0,3,0,3
EJBCA EJB Library,org.ejbca.core.ejb.ca.publisher,PublisherSessionBean,2153,0,215,0,471,0,147,0,37,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.publisher,PublisherCache,26,57,2,0,8,11,5,8,4,8
EJBCA EJB Library,org.ejbca.core.ejb.ca.auth,EndEntityAuthenticationSessionBean,432,0,50,0,95,0,30,0,5,0
EJBCA EJB Library,org.ejbca.core.ejb.authorization,AuthorizationSystemSessionBean,883,0,88,0,159,0,53,0,9,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.caadmin,CaHelperCache,7,0,0,0,2,0,1,0,1,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.caadmin,CAAdminSessionBean.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.caadmin,CAAdminSessionBean,9353,0,718,0,1976,0,421,0,62,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.revoke,RevocationSessionBean,191,0,20,0,39,0,16,0,6,0
EJBCA EJB Library,org.ejbca.core.ejb.ca.sign,SignSessionBean,2638,0,230,0,618,0,151,0,36,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,CrmfMessageHandler,1747,0,158,0,374,0,87,0,8,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,CmpRevokeResponseMessage,317,0,22,0,81,0,32,0,21,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,CmpMessageDispatcherSessionBean,506,0,58,0,119,0,38,0,7,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,RevocationMessageHandler,680,0,50,0,161,0,29,0,4,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,CrmfKeyUpdateHandler,623,0,68,0,145,0,37,0,3,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,ConfirmationMessageHandler,322,0,28,0,82,0,20,0,6,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,GeneralCmpMessage,177,0,20,0,48,0,12,0,2,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,NestedMessageContent,343,0,36,0,104,0,48,0,30,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,BaseCmpMessageHandler,249,0,34,0,68,0,24,0,7,0
EJBCA EJB Library,org.ejbca.core.protocol.cmp,CmpConfirmResponseMessage,221,0,24,0,56,0,32,0,20,0
EJBCA EJB Library,org.ejbca.core.ejb.keybind,InternalKeyBindingRulesReference,157,0,18,0,24,0,12,0,3,0
EJBCA EJB Library,org.ejbca.core.protocol,ExtendedUserDataHandler.HandlerException,4,0,0,0,2,0,1,0,1,0
EJBCA EJB Library,org.ejbca.core.ejb.keyrecovery,KeyRecoverySessionBean,1582,0,90,0,318,0,63,0,18,0
