GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.Pkcs10RequestCommand,53,0,0,0,10,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CvcGetChainCommand,132,0,6,0,35,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,RemoveSubjectFromRoleCommand,167,0,12,0,34,0,9,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CaCertRequestCommand,257,0,18,0,65,0,12,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,PKCS10ReqCommand,268,0,26,0,76,0,20,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CvcRequestCommand,469,0,22,0,114,0,14,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GetExpiredCertificatesByIssuerCommand,222,0,20,0,60,0,15,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.RevokeCertBackdatedCommand,106,0,2,0,25,0,6,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.RevokeCertCommand,44,0,2,0,9,0,4,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GetProfileCommand,127,0,10,0,36,0,8,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CvcPrintCommand,193,0,12,0,59,0,10,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,KeyRecoverCommand,95,0,2,0,29,0,4,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GenerateCryptoTokenKeysCommand,91,0,4,0,24,0,5,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CheckRevokeStatusCommand,126,0,6,0,35,0,7,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,EJBCAWSRABaseCommand,291,162,31,3,83,28,24,4,8,3
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GetExpiredCertificatesByTypeCommand,227,0,20,0,61,0,15,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.ListCertsCommand,96,0,6,0,17,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,UpdateCaCertCommand,97,0,6,0,26,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,ejbcawsracli,66,0,8,0,22,0,6,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,KeyRecoverEnrollCommand,233,0,20,0,64,0,14,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,RevokeCertCommand,205,0,8,0,54,0,8,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CertificateRequestCommand,409,0,34,0,105,0,25,0,8,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.MultipleCertsRequestsForAUserCommand,97,0,6,0,21,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.EditUserCommand,119,0,8,0,28,0,7,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,ParseUserData,136,0,14,0,32,0,10,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.MyCommandFactory,265,0,7,0,23,0,7,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.JobData,27,0,0,0,6,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,EditUserCommand,431,0,46,0,101,0,27,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CreateCRLCommand,44,0,2,0,15,0,4,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,ImportCaCertCommand,97,0,6,0,26,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CaCertResponseCommand,217,0,14,0,59,0,10,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.FindUserCommand,80,0,6,0,21,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GenerateNewUserCommand,576,0,52,0,142,0,34,0,8,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,FindCertsCommand,221,0,24,0,63,0,18,0,6,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,EJBCAWSRABaseCommand.PasswordHandler,40,0,2,0,11,0,4,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CreateCACommand,298,0,14,0,63,0,11,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,FindUserCommand,619,0,46,0,95,0,31,0,8,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,PKCS12ReqCommand,174,0,18,0,48,0,14,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CustomLogCommand,224,0,18,0,57,0,12,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.CertificateRequestCommand,168,0,8,0,37,0,7,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,RevokeTokenCommand,119,0,6,0,33,0,6,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GetExpiredCertificatesCommand,215,0,20,0,59,0,15,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,RevokeUserCommand,190,0,16,0,53,0,12,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,RevokeCertWithMetadataCommand,200,74,7,7,55,18,7,5,3,2
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,AddSubjectToRoleCommand,167,0,12,0,34,0,9,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,cvcwscli,25,0,2,0,11,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.TestType,54,0,0,0,6,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,EJBCAWSRACommandFactory,399,0,74,0,73,0,38,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand,317,0,24,0,65,0,16,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CreateCryptoTokenCommand,171,0,8,0,41,0,7,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,StressTestCommand.BaseCommand,17,0,0,0,4,0,2,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,CvcPemCommand,208,0,14,0,63,0,11,0,4,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client,GetPublisherQueueLength,59,0,4,0,19,0,5,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,Pkcs12Req,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetLastCertChain,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,KeyRecover,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeBackDateNotAllowedForProfileException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,RevokeCertBackdatedResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,AlreadyRevokedException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,ApprovalRequestExecutionException_Exception,18,0,0,0,7,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GenerateCryptoTokenKeys,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GenerateCryptoTokenKeysResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificate,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,CvcRequestResponse,14,0,2,0,4,0,3,0,2,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,DeleteUserDataFromSourceResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,GetCertificatesByExpirationTimeAndType,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,MultipleMatchException,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices CLI,org.ejbca.core.protocol.ws.client.gen,IsApprovedResponse,10,0,0,0,4,0,3,0,3,0
