GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejbca-ws-common/ejbca-common,org.ejbca.ui.web,LimitLengthASN1Reader,62,194,6,20,9,46,6,12,0,5
ejbca-ws-common/ejbca-common,org.ejbca.core.ejb,ProfilingStat,39,0,0,0,12,0,7,0,7,0
ejbca-ws-common/ejbca-common,org.ejbca.core.ejb,ServiceLocatorException,16,0,0,0,8,0,4,0,4,0
ejbca-ws-common/ejbca-common,org.ejbca.core.ejb,ProfilingStats,137,0,8,0,24,0,9,0,5,0
ejbca-ws-common/ejbca-common,org.ejbca.core.ejb,ServiceLocator,83,0,6,0,26,0,12,0,9,0
ejbca-ws-common/ejbca-common,org.ejbca.core.model.services.workers,EmailSendingWorkerConstants,3,0,0,0,1,0,1,0,1,0
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityProfileNotFoundException,22,0,0,0,10,0,5,0,5,0
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityValidationHelper,56,90,4,8,17,25,4,6,0,4
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityProfileValidationException,12,4,0,0,6,2,3,1,3,1
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityFieldValidatorException,12,4,0,0,6,2,3,1,3,1
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,UserNotification,280,0,28,0,74,0,31,0,17,0
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityProfile.FieldInstance,195,0,28,0,31,0,35,0,21,0
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityProfile.Field,46,0,2,0,10,0,5,0,4,0
ejbca-ws-common/ejbca-common,org.ejbca.core.model.ra.raadmin,EndEntityProfileExistsException,7,0,0,0,4,0,2,0,2,0
