GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,RevokeToken,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,CaCertResponse,31,0,0,0,13,0,9,0,9,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,CertificateExpiredExceptionBean,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,MultipleMatchExceptionBean,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,RevokeUser,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,CvcRequestResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetHardTokenDataResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetAvailableCertificateProfiles,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,CrmfRequest,38,0,0,0,16,0,11,0,11,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetRemainingNumberOfApprovals,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,RevokeCertWithMetadata,24,0,0,0,10,0,7,0,7,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetAvailableCertificateProfilesResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,UpdateCaCertResponse,3,0,0,0,1,0,1,0,1,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetLatestCRL,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetProfileResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,AlreadyRevokedExceptionBean,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,CryptoTokenOfflineExceptionBean,17,0,0,0,7,0,5,0,5,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,CertificateRequestResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,GetLatestCRLResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,FindUserResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,FindCertsResponse,10,0,0,0,4,0,3,0,3,0
EJBCA Webservices Webapp,org.ejbca.core.protocol.ws.jaxws,EditUser,10,0,0,0,4,0,3,0,3,0
